歌曲名称,演唱者,昨日音乐指数,较前一日,昨日全站排名,较前一日1,当前时间,全站排名,音乐指数,当前收听人数,历史成绩,变化幅度,专辑,歌曲类型,平台,入V状态
往前,王晰&尹姝贻,,,,,,0.0,0.0,,,0.0,无,影视OST,,
神魂颠倒,一心向晰 • ♡∞王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
渔光曲,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
多年以后,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
有你在的美好,王晰,,,,,,0.0,0.0,,,0.0,无,散曲,,
鸽子,王晰&金圣权&李向哲,,,,,,0.0,0.0,,,0.0,无,未分类,,
再回首,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
相思,王晰&弦子,114,16.79%,34023.0,3496,最近更新 23:32,30707.0,180.0,18 人正在听,歌曲成就2021/09/09内地榜 历史在榜2期 最高排名422021/09/09新歌榜 历史在榜4期 最高排名452021/09/09影视金曲榜 历史在榜8期 最高排名182021/09/09飙升榜 历史在榜1期 最高排名112021/09/09国风热歌榜 历史在榜3期 最高排名172021/09/09流行指数榜 历史在榜3期 最高排名632020/07/13腾讯音乐由你榜 当期排名54 历史在榜5期 最高排名13,16.79,无,影视OST,,
盲,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
千言万语,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
荒人之歌,王晰,125,22.55%,30987.0,1047,最近更新 23:27,32170.0,154.0,10 人正在听,歌曲成就2021/09/09内地榜 历史在榜1期 最高排名872021/09/09影视金曲榜 历史在榜3期 最高排名70,22.55,无,未分类,,
星空穹顶,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
也许,王晰,,,,,,0.0,0.0,,,0.0,无,散曲,,
第18期01 【睡前故事与酒】总有人如这秋天的热酒，长留在心中,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
我的命运,王晰,,,,,,0.0,0.0,,,0.0,无,企划曲,,
着魔,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
无畏,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
叶塞尼亚,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
漫长的告别,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
梦开始的地方,王晰,,,,,,0.0,0.0,,,0.0,无,散曲,,
偏执,王晰&吴宣仪,,,,,,0.0,0.0,,,0.0,无,未分类,,
时间,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
晚风,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
小毛驴,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
重来,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
爱我吗,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
第1期01 【睡前故事与酒】享受人间小确幸,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第18期02 【王晰，请回答】敢爱的人最天真,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
最远的心跳,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
灯塔,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
双鱼,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
花样年华,娄艺潇&王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
绝不会和你错过,王晰,,,,,,0.0,0.0,,,0.0,无,散曲,,
Sunlight,王晰,,,,,,0.0,0.0,,,0.0,无,影视OST,,
营业预告：欢迎光临日木斤小酒馆！评论区给王晰留言~,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
第17期01 【睡前故事与酒】收获的季节里，生活在别处,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
爱情,王晰,,,,,,0.0,0.0,,,0.0,无,未分类,,
微光之名,王晰,,,,,,0.0,0.0,,,0.0,EP《回望》,专辑曲,TME,
